Source,Target,Rolle,Beziehungstyp,Gewicht
aakhtar,org_mpg,Vorstand/Präsidium,Person-Organisation,2
mbarth,org_agapedia,Gründer/in,Person-Organisation,3
sbarth,org_agapedia,Gründer/in,Person-Organisation,3
scornelius,org_freilichtmuseum_beuren,Leitung/Geschäftsführung,Person-Organisation,3
ngaelle,org_scherzachtaler,Gründer/in,Person-Organisation,3
tgoenner,org_cdu,Mitglied,Person-Organisation,1
tgoenner,org_giz,Vorstand/Präsidium,Person-Organisation,2
tgoenner,org_unicef_de,Mitglied,Person-Organisation,1
tgoenner,org_stiftung_liebenau,Aufsichtsrat,Person-Organisation,2
tgoenner,org_vfb,Aufsichtsrat,Person-Organisation,2
thitzlsperger,org_vfb,Vorstand/Präsidium,Person-Organisation,3
thitzlsperger,org_dfb,Botschafter/in,Person-Organisation,1
nkappel,org_dfl_stiftung,Kuratorium,Person-Organisation,1
nkappel,org_dla,Beschäftigt/tätig,Person-Organisation,3
fwkeller,org_franz_keller,Leitung/Geschäftsführung,Person-Organisation,3
fwkeller,org_dfb,Vorstand/Präsidium,Person-Organisation,2
fwkeller,org_sc_freiburg,Vorstand/Präsidium,Person-Organisation,2
akoktsidou,org_swr,Beschäftigt/tätig,Person-Organisation,3
akoktsidou,org_kalimera,Vorstand/Präsidium,Person-Organisation,2
akoktsidou,org_forum_kulturen,Mitglied,Person-Organisation,1
pkurz,org_unesco_mannheim,Beschäftigt/tätig,Person-Organisation,3
pkurz,org_global_parliament,Gründer/in,Person-Organisation,3
npmalek,org_zpm,Gründer/in,Person-Organisation,3
npmalek,org_forum_gesundheit,Vorstand/Präsidium,Person-Organisation,2
fpmastiaux,org_enbw,Vorstand/Präsidium,Person-Organisation,3
fpmastiaux,org_strategiedialog_auto,Mitglied,Person-Organisation,1
emenzerhaasis,org_lsvbw,Vorstand/Präsidium,Person-Organisation,2
emenzerhaasis,org_wlsb,Vorstand/Präsidium,Person-Organisation,2
kmrueckert,org_nationalpark_sw,Beschäftigt/tätig,Person-Organisation,3
vschiltenwolf,org_luchsinitiative,Vorstand/Präsidium,Person-Organisation,2
kschmalz,org_schmalz_gmbh,Leitung/Geschäftsführung,Person-Organisation,3
kschmalz,org_campus_schwarzwald,Gründer/in,Person-Organisation,3
kschmalz,org_ihk_nordschwarzwald,Vorstand/Präsidium,Person-Organisation,2
wschmalz,org_schmalz_gmbh,Leitung/Geschäftsführung,Person-Organisation,3
wschmalz,org_schmalz_stiftung,Gründer/in,Person-Organisation,3
vstoertzenbach,org_pso_stuttgart,Gründer/in,Person-Organisation,3
vstoertzenbach,org_uni_stuttgart,Beschäftigt/tätig,Person-Organisation,3
vstoertzenbach,org_livemusicnow,Vorstand/Präsidium,Person-Organisation,2
itress,org_tress_bw,Leitung/Geschäftsführung,Person-Organisation,3
funtersteller,org_oeko_institut,Vorstand/Präsidium,Person-Organisation,2
funtersteller,org_under2,Botschafter/in,Person-Organisation,1
fvogel,org_stuttgarter_ballett,Beschäftigt/tätig,Person-Organisation,3
